Time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8
0.159,1.0525e-11,6.6305e-11,-2.738e-11,1.4902e-11,-2.312e-11,-2.7399e-11,-4.0996e-12,1.69e-09
0.446,-5.6069e-12,2.8665e-11,-5.8345e-11,5.9214e-12,-1.5663e-11,3.0982e-11,1.164e-11,3.2652e-09
0.731,2.2804e-11,-1.1169e-11,2.74e-11,-5.2913e-11,-2.0045e-11,2.4511e-11,-2.7393e-11,-3.8209e-09
0.980,1.1207e-11,-1.0075e-11,1.4067e-11,3.6122e-11,-4.8058e-12,1.9138e-11,-3.4754e-12,-1.3768e-09
1.361,-2.3639e-11,-1.4085e-11,-1.1274e-10,1.0124e-10,-1.5423e-12,-2.1555e-12,1.1304e-11,4.0894e-09
1.656,1.7918e-11,4.39e-11,3.4295e-11,-4.4747e-11,2.1497e-11,-9.3433e-11,2.9977e-11,1.53e-09
1.903,2.0688e-11,-1.7486e-11,1.5346e-11,-5.6849e-11,-7.7884e-11,-2.3206e-11,1.2784e-11,-4.3684e-09
2.182,2.1261e-11,7.7357e-12,-7.0983e-11,3.8449e-11,-2.7757e-11,-4.4191e-11,-1.0935e-10,3.0655e-09
2.433,2.9628e-11,1.6522e-11,3.8857e-11,-1.2876e-11,-4.2825e-11,2.3548e-11,-2.7536e-11,4.3164e-09
2.699,-7.0179e-11,5.959e-11,1.6164e-11,-1.9574e-11,6.0979e-11,-2.2063e-12,-6.0424e-11,-3.753e-09
2.952,-1.4168e-11,1.7967e-11,-1.6469e-11,1.4985e-11,3.0681e-11,-6.1643e-12,3.4727e-11,3.6392e-09
3.226,-3.8996e-11,-5.2088e-11,-1.0874e-12,3.7926e-11,3.0116e-11,-1.9215e-11,-5.0817e-12,-3.8856e-09
3.598,-1.0814e-10,3.998e-12,1.6645e-11,-2.4481e-11,-2.1771e-11,8.2982e-12,1.6296e-11,-1.0102e-09
3.899,9.2766e-12,6.9887e-11,1.6359e-11,1.6485e-11,-1.3444e-12,1.7805e-11,1.3621e-11,4.5629e-09
4.309,-3.1821e-11,2.3174e-12,-1.7248e-11,8.1396e-12,-3.2322e-12,-2.9357e-11,-1.9214e-12,-3.1452e-09
4.568,1.5465e-11,-1.9038e-11,-4.1445e-11,-1.2755e-10,4.055e-12,5.8344e-11,1.4289e-11,-2.1543e-09
4.948,-1.857e-11,2.4341e-11,-2.3711e-11,1.0914e-11,1.0311e-11,4.9026e-11,-4.7075e-11,2.6703e-09
5.229,-4.4526e-11,5.946e-11,2.3182e-11,1.7812e-12,8.0688e-12,2.0153e-11,2.1261e-11,1.7414e-09
5.478,9.4774e-11,1.7711e-11,1.4856e-11,3.4692e-11,-7.1328e-12,-1.1922e-11,3.2516e-11,-4.5746e-09
5.757,6.1357e-12,-1.0736e-11,9.4151e-11,1.24e-11,3.268e-12,5.776e-11,2.2837e-11,2.0618e-09
6.033,3.2409e-11,-2.5644e-11,-6.6865e-11,4.3175e-12,-4.3483e-12,1.8238e-11,1e-12,4.1113e-09
6.399,1.839e-11,2.6197e-11,1.8032e-10,-3.2039e-11,1.3148e-11,4.0975e-12,6.6932e-11,-3.5548e-09
6.690,-1.6574e-11,-1.0714e-11,1e-12,3.8018e-11,3.633e-11,-4.1843e-11,4.1641e-11,-1.6481e-09
6.969,-8.151e-11,3.4974e-11,-2.3746e-11,-5.9119e-11,-2.2724e-12,2.5993e-11,2.1028e-11,4.7391e-09
7.241,2.2149e-11,7.4253e-12,-2.5722e-11,-2.0452e-11,-1.0788e-11,2.2569e-11,-1.9698e-11,-2.2281e-09
7.509,2.9175e-11,-2.7028e-11,2.7062e-11,1.2275e-11,-3.1124e-11,4.0298e-11,-5.2623e-11,-3.1124e-09
7.777,-3.2984e-11,7.2112e-11,-3.1047e-11,-1.0841e-12,3.2152e-11,-6.1316e-12,6.305e-12,3.3842e-09
8.020,-5.7803e-11,1.9882e-12,1.4932e-11,6.9252e-11,2.3621e-11,-2.676e-11,1.9756e-11,1.429e-09
8.294,1.1695e-11,2.1861e-11,-2.8026e-11,8.8315e-12,5.5275e-12,1e-12,1.3865e-11,-4.6792e-09
8.674,-7.1509e-12,2.1538e-11,9.5926e-11,-3.6132e-11,-5.8818e-12,5.4794e-11,8.1685e-12,3.9781e-09
8.941,-2.2905e-11,-6.2716e-12,-3.0029e-11,-3.1092e-12,-3.6793e-12,3.8383e-11,-2.9023e-12,-4.2523e-09
9.184,-3.535e-11,-1.7317e-11,-6.8594e-11,4.6032e-11,-9.722e-12,9.5528e-11,1.7181e-11,4e-09
